P,m,T,X1,X2,X3
32,12416,0.004689490,10,24056,12028
32,12544,0.004736409,10,24304,12152
32,12672,0.004783327,10,24552,12276
32,12800,0.004830246,10,24800,12400
32,12928,0.004877169,10,25048,12524
32,13056,0.004924087,10,25296,12648
32,13184,0.004971003,10,25544,12772
32,13312,0.005017926,10,25792,12896
32,13440,0.005064843,10,26040,13020
32,13568,0.005111759,10,26288,13144
32,13696,0.005158676,10,26536,13268
32,13824,0.005205595,10,26784,13392
32,13952,0.005214231,10,27032,13516
32,14080,0.005260770,10,27280,13640
32,14208,0.005307320,10,27528,13764
32,14336,0.005353867,10,27776,13888
32,14464,0.005400421,10,28024,14012
32,14592,0.005446964,10,28272,14136
32,14720,0.005493514,10,28520,14260
32,14848,0.005540062,10,28768,14384
32,14976,0.005586614,10,29016,14508
32,15104,0.005633161,10,29264,14632
32,15232,0.005679709,10,29512,14756
32,15360,0.005726259,10,29760,14880
32,15488,0.005642721,10,30008,15004
32,15616,0.005688140,10,30256,15128
32,15744,0.005733554,10,30504,15252
32,15872,0.005778970,10,30752,15376
32,16000,0.005824386,10,31000,15500
32,16128,0.005869800,10,31248,15624
32,16256,0.005915216,10,31496,15748
32,16384,0.005229154,10,31744,15872
32,16512,0.005268351,10,31992,15996
32,16640,0.005307557,10,32240,16120
32,16768,0.005346760,10,32488,16244
32,16896,0.005385957,10,32736,16368
32,17024,0.005425156,10,32984,16492
32,17152,0.005464362,10,33232,16616
32,17280,0.005503561,10,33480,16740
32,17408,0.005542764,10,33728,16864
32,17536,0.005581967,10,33976,16988
32,17664,0.005621170,10,34224,17112
32,17792,0.005660369,10,34472,17236
32,17920,0.005699571,10,34720,17360
32,18048,0.005738771,10,34968,17484
32,18176,0.005777973,10,35216,17608
32,18304,0.005817175,10,35464,17732
32,18432,0.005856378,10,35712,17856
32,18560,0.005895579,10,35960,17980
32,18688,0.005934780,10,36208,18104
32,18816,0.006219378,10,36456,18228
32,18944,0.006260222,10,36704,18352
32,19072,0.006301068,10,36952,18476
32,19200,0.006341917,10,37200,18600
32,19328,0.006382761,10,37448,18724
32,19456,0.006423607,10,37696,18848
32,19584,0.006464459,10,37944,18972
32,19712,0.006505301,10,38192,19096
32,19840,0.006546146,10,38440,19220
32,19968,0.006586994,10,38688,19344
32,20096,0.006627838,10,38936,19468
32,20224,0.006668683,10,39184,19592
32,20352,0.006709534,10,39432,19716
32,20480,0.006750381,10,39680,19840
32,20608,0.006791228,10,39928,19964
32,20736,0.006832076,10,40176,20088
32,20864,0.006872929,10,40424,20212
64,8192,0.003978830,12,16128,8064
64,8320,0.004038347,12,16380,8190
64,8448,0.004097858,12,16632,8316
64,8576,0.004157375,12,16884,8442
64,8704,0.004216890,12,17136,8568
64,8832,0.004276407,12,17388,8694
64,8960,0.004335921,12,17640,8820
64,9088,0.004395436,12,17892,8946
64,9216,0.004454959,12,18144,9072
64,9344,0.004514466,12,18396,9198
64,9472,0.004821020,12,18648,9324
64,9600,0.004883827,12,18900,9450
64,9728,0.004946630,12,19152,9576
64,9856,0.005009432,12,19404,9702
64,9984,0.005072241,12,19656,9828
64,10112,0.005135045,12,19908,9954
64,10240,0.005197848,12,20160,10080
64,10368,0.005260653,12,20412,10206
64,10496,0.005323458,12,20664,10332
