P,m,T,X1,X2,X3
32,17536,0.009035824,62,33976,16988
32,17664,0.009098194,62,34224,17112
32,17792,0.009160888,62,34472,17236
32,17920,0.009223438,62,34720,17360
32,18048,0.009285957,62,34968,17484
32,18176,0.009348396,62,35216,17608
32,18304,0.009410881,62,35464,17732
32,18432,0.009473331,62,35712,17856
32,18560,0.009535858,62,35960,17980
32,18688,0.009598446,62,36208,18104
32,18816,0.009661022,62,36456,18228
32,18944,0.009723610,62,36704,18352
32,19072,0.009786186,62,36952,18476
32,19200,0.009848775,62,37200,18600
32,19328,0.009911337,62,37448,18724
32,19456,0.009973906,62,37696,18848
32,19584,0.010036435,62,37944,18972
32,19712,0.010098944,62,38192,19096
32,19840,0.010161441,62,38440,19220
32,19968,0.010223933,62,38688,19344
32,20096,0.010286434,62,38936,19468
32,20224,0.010348951,62,39184,19592
32,20352,0.010411512,62,39432,19716
32,20480,0.010474093,62,39680,19840
32,20608,0.010536675,62,39928,19964
32,20736,0.010599255,62,40176,20088
32,20864,0.010661831,62,40424,20212
64,8192,0.010175626,126,16128,8064
64,8320,0.010326017,126,16380,8190
64,8448,0.010466987,126,16632,8316
64,8576,0.010609335,126,16884,8442
64,8704,0.010751533,126,17136,8568
64,8832,0.010893334,126,17388,8694
64,8960,0.011034987,126,17640,8820
64,9088,0.011176433,126,17892,8946
64,9216,0.011316134,126,18144,9072
64,9344,0.011455815,126,18396,9198
64,9472,0.011596653,126,18648,9324
64,9600,0.011740034,126,18900,9450
64,9728,0.011883259,126,19152,9576
64,9856,0.012024739,126,19404,9702
64,9984,0.012161780,126,19656,9828
64,10112,0.012303088,126,19908,9954
64,10240,0.012445013,126,20160,10080
64,10368,0.012585641,126,20412,10206
64,10496,0.012727093,126,20664,10332
64,10624,0.012868930,126,20916,10458
64,10752,0.013022372,126,21168,10584
64,10880,0.013168448,126,21420,10710
64,11008,0.013311153,126,21672,10836
64,11136,0.013453323,126,21924,10962
64,11264,0.013595460,126,22176,11088
64,11392,0.007969477,126,22428,11214
64,11520,0.008048929,126,22680,11340
64,11648,0.008128286,126,22932,11466
64,11776,0.008207494,126,23184,11592
64,11904,0.008285933,126,23436,11718
64,12032,0.008366334,126,23688,11844
64,12160,0.008445195,126,23940,11970
64,12288,0.008524552,126,24192,12096
64,12416,0.008603935,126,24444,12222
64,12544,0.008683801,126,24696,12348
64,12672,0.008763407,126,24948,12474
64,12800,0.008842928,126,25200,12600
64,12928,0.008922143,126,25452,12726
64,13056,0.009001665,126,25704,12852
64,13184,0.009088955,126,25956,12978
64,13312,0.009168189,126,26208,13104
64,13440,0.009246146,126,26460,13230
64,13568,0.009324384,126,26712,13356
64,13696,0.009401948,126,26964,13482
64,13824,0.009480460,126,27216,13608
64,13952,0.009559001,126,27468,13734
64,14080,0.009639453,126,27720,13860
64,14208,0.009719299,126,27972,13986
64,14336,0.009798655,126,28224,14112
64,14464,0.009878222,126,28476,14238
64,14592,0.009945312,126,28728,14364
64,14720,0.010035061,126,28980,14490
64,14848,0.010114642,126,29232,14616
64,14976,0.010194684,126,29484,14742
64,15104,0.010274181,126,29736,14868
64,15232,0.010353767,126,29988,14994
64,15360,0.010433420,126,30240,15120
64,15488,0.010512721,126,30492,15246
64,15616,0.010592625,126,30744,15372
64,15744,0.010672387,126,30996,15498
64,15872,0.010761990,126,31248,15624
64,16000,0.010843592,126,31500,15750
64,16128,0.010924055,126,31752,15876
64,16256,0.011004341,126,32004,16002
64,16384,0.011083420,126,32256,16128
64,16512,0.011163099,126,32508,16254
64,16640,0.011242310,126,32760,16380
64,16768,0.011322178,126,33012,16506
64,16896,0.011401367,126,33264,16632
64,17024,0.011479126,126,33516,16758
64,17152,0.011556908,126,33768,16884
64,17280,0.011634088,126,34020,17010
64,17408,0.011712567,126,34272,17136
64,17536,0.011792734,126,34524,17262
64,17664,0.011878926,126,34776,17388
64,17792,0.011964799,126,35028,17514
64,17920,0.012070608,126,35280,17640
64,18048,0.012134064,126,35532,17766
64,18176,0.012201348,126,35784,17892
64,18304,0.012281075,126,36036,18018
64,18432,0.012361333,126,36288,18144
64,18560,0.012441200,126,36540,18270
64,18688,0.012521405,126,36792,18396
64,18816,0.012601431,126,37044,18522
64,18944,0.012681255,126,37296,18648
64,19072,0.012761226,126,37548,18774
64,19200,0.012841279,126,37800,18900
64,19328,0.012921026,126,38052,19026
64,19456,0.013001074,126,38304,19152
64,19584,0.013085527,126,38556,19278
64,19712,0.013168434,126,38808,19404
64,19840,0.013245327,126,39060,19530
64,19968,0.013323765,126,39312,19656
64,20096,0.013571038,126,39564,19782
64,20224,0.013657965,126,39816,19908
